sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,stage_unique_per_run,stage_coverage_ratio,score_target,stage_variety_target_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
64,casual,1340,casual,4,8000,1340,46,needs tuning,4,0,18610.000,2.000,3.000,0.000,0.250,0.473701,0.052365,0.150000,0.750000,0.400000,36000.000,0.460000,11.000,4.200,0.000,5.169,2.609,5.236,9.000,8.854
65,casual,1341,casual,4,8000,1341,60,promising,4,0,19825.000,2.250,4.250,0.250,1.250,0.490945,0.072806,0.250000,1.250000,0.800000,36000.000,0.460000,12.375,5.950,0.875,5.507,4.348,6.000,9.000,15.938
66,casual,1342,casual,4,8000,1342,43,needs tuning,4,0,15740.000,1.500,2.250,0.000,0.500,0.524648,0.100952,0.100000,0.500000,0.400000,36000.000,0.460000,8.250,3.150,0.000,4.372,1.739,6.000,9.000,10.625
67,casual,1343,casual,4,8000,1343,37,needs tuning,3,0,9945.500,1.000,1.750,0.000,0.500,0.487741,0.080601,0.050000,0.250000,0.200000,36000.000,0.460000,5.500,2.450,0.000,2.763,0.870,6.000,9.000,10.625
68,casual,1344,casual,4,8000,1344,67,promising,4,0,25539.000,2.750,6.000,0.000,1.500,0.482437,0.062990,0.300000,1.500000,0.600000,36000.000,0.460000,15.125,8.400,0.000,7.094,5.217,6.000,9.000,16.292
69,casual,1345,casual,4,8000,1345,37,needs tuning,2,0,13621.500,1.250,1.750,0.000,0.250,0.517943,0.104484,0.000000,0.000000,0.000000,36000.000,0.460000,6.875,2.450,0.000,3.784,0.000,6.000,9.000,8.854
70,casual,1346,casual,4,8000,1346,31,weak fun signal,1,0,8786.500,0.750,0.750,0.000,0.250,0.531389,0.112089,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.441,0.000,6.000,9.000,8.854
71,casual,1347,casual,4,8000,1347,54,needs tuning,5,1,23362.000,2.250,4.250,0.000,2.000,0.469297,0.050630,0.150000,0.750000,0.600000,36000.000,0.460000,12.375,5.950,0.000,6.489,2.609,5.063,9.000,12.750
72,casual,1348,casual,4,8000,1348,31,weak fun signal,1,0,8209.000,0.750,0.750,0.000,0.250,0.527067,0.112990,0.000000,0.000000,0.000000,36000.000,0.460000,4.125,1.050,0.000,2.280,0.000,6.000,9.000,8.854
73,survival,1337,survival,4,8000,1337,34,weak fun signal,1,0,11487.500,1.000,1.000,0.000,0.000,0.505155,0.051546,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.703,0.000,5.155,5.000,12.500
74,survival,1338,survival,4,8000,1338,34,weak fun signal,1,0,12028.500,1.000,1.000,0.000,0.000,0.489203,0.052122,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.830,0.000,5.212,5.000,12.500
75,survival,1339,survival,4,8000,1339,44,needs tuning,4,0,16605.000,1.750,2.750,0.000,0.000,0.497521,0.054337,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.300,0.000,3.907,1.905,5.434,5.000,12.500
76,survival,1340,survival,4,8000,1340,44,needs tuning,2,0,7720.000,0.750,1.000,0.000,1.000,0.547141,0.108856,0.000000,0.000000,0.000000,34000.000,0.420000,5.250,1.200,0.000,1.816,0.000,6.000,5.000,25.000
77,survival,1341,survival,4,8000,1341,50,needs tuning,3,0,14463.000,1.500,2.250,0.000,0.750,0.493270,0.051633,0.050000,0.250000,0.200000,34000.000,0.420000,10.500,2.700,0.000,3.403,0.952,5.163,5.000,21.875
78,survival,1342,survival,4,8000,1342,47,needs tuning,2,0,13781.000,1.250,1.750,0.000,0.750,0.531690,0.093750,0.000000,0.000000,0.000000,34000.000,0.420000,8.750,2.100,0.000,3.243,0.000,6.000,5.000,21.875
79,survival,1343,survival,4,8000,1343,45,needs tuning,4,0,18947.500,1.750,3.000,0.000,0.000,0.491091,0.051291,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.600,0.000,4.458,1.905,5.129,5.000,12.500
80,survival,1344,survival,4,8000,1344,60,promising,5,1,21395.500,2.250,3.750,0.000,1.250,0.499325,0.052705,0.150000,0.750000,0.600000,34000.000,0.420000,15.750,4.500,0.000,5.034,2.857,5.271,5.000,21.875
81,survival,1345,survival,4,8000,1345,40,needs tuning,3,1,16321.500,1.750,2.500,0.000,2.250,0.504128,0.052312,0.050000,0.250000,0.200000,34000.000,0.420000,12.250,3.000,0.000,3.840,0.952,5.231,5.000,9.375
82,survival,1346,survival,4,8000,1346,57,promising,4,0,18452.500,1.750,3.250,0.000,1.000,0.499584,0.050216,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.900,0.000,4.342,1.905,5.022,5.000,25.000
83,survival,1347,survival,4,8000,1347,43,needs tuning,3,0,7048.500,0.750,1.500,0.000,0.750,0.487583,0.073492,0.050000,0.250000,0.200000,34000.000,0.420000,5.250,1.800,0.000,1.658,0.952,6.000,5.000,21.875
84,survival,1348,survival,4,8000,1348,46,needs tuning,2,1,10599.000,1.000,1.250,0.000,1.000,0.493215,0.051537,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.500,0.000,2.494,0.000,5.154,5.000,25.000
85,survival,1337,survival,4,8000,1337,34,weak fun signal,1,0,11487.500,1.000,1.000,0.000,0.000,0.505155,0.051546,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.703,0.000,5.155,5.000,12.500
86,survival,1338,survival,4,8000,1338,34,weak fun signal,1,0,12028.500,1.000,1.000,0.000,0.000,0.489203,0.052122,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.830,0.000,5.212,5.000,12.500
87,survival,1339,survival,4,8000,1339,44,needs tuning,4,0,16605.000,1.750,2.750,0.000,0.000,0.497521,0.054337,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.300,0.000,3.907,1.905,5.434,5.000,12.500
88,survival,1340,survival,4,8000,1340,44,needs tuning,2,0,7720.000,0.750,1.000,0.000,1.000,0.547141,0.108856,0.000000,0.000000,0.000000,34000.000,0.420000,5.250,1.200,0.000,1.816,0.000,6.000,5.000,25.000
89,survival,1341,survival,4,8000,1341,50,needs tuning,3,0,14463.000,1.500,2.250,0.000,0.750,0.493270,0.051633,0.050000,0.250000,0.200000,34000.000,0.420000,10.500,2.700,0.000,3.403,0.952,5.163,5.000,21.875
90,survival,1342,survival,4,8000,1342,47,needs tuning,2,0,13781.000,1.250,1.750,0.000,0.750,0.531690,0.093750,0.000000,0.000000,0.000000,34000.000,0.420000,8.750,2.100,0.000,3.243,0.000,6.000,5.000,21.875
91,survival,1343,survival,4,8000,1343,45,needs tuning,4,0,18947.500,1.750,3.000,0.000,0.000,0.491091,0.051291,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.600,0.000,4.458,1.905,5.129,5.000,12.500
92,survival,1344,survival,4,8000,1344,60,promising,5,1,21395.500,2.250,3.750,0.000,1.250,0.499325,0.052705,0.150000,0.750000,0.600000,34000.000,0.420000,15.750,4.500,0.000,5.034,2.857,5.271,5.000,21.875
93,survival,1345,survival,4,8000,1345,40,needs tuning,3,1,16321.500,1.750,2.500,0.000,2.250,0.504128,0.052312,0.050000,0.250000,0.200000,34000.000,0.420000,12.250,3.000,0.000,3.840,0.952,5.231,5.000,9.375
94,survival,1346,survival,4,8000,1346,57,promising,4,0,18452.500,1.750,3.250,0.000,1.000,0.499584,0.050216,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.900,0.000,4.342,1.905,5.022,5.000,25.000
95,survival,1347,survival,4,8000,1347,43,needs tuning,3,0,7048.500,0.750,1.500,0.000,0.750,0.487583,0.073492,0.050000,0.250000,0.200000,34000.000,0.420000,5.250,1.800,0.000,1.658,0.952,6.000,5.000,21.875
96,survival,1348,survival,4,8000,1348,46,needs tuning,2,1,10599.000,1.000,1.250,0.000,1.000,0.493215,0.051537,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.500,0.000,2.494,0.000,5.154,5.000,25.000
97,survival,1337,survival,4,8000,1337,34,weak fun signal,1,0,11487.500,1.000,1.000,0.000,0.000,0.505155,0.051546,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.703,0.000,5.155,5.000,12.500
98,survival,1338,survival,4,8000,1338,34,weak fun signal,1,0,12028.500,1.000,1.000,0.000,0.000,0.489203,0.052122,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.200,0.000,2.830,0.000,5.212,5.000,12.500
99,survival,1339,survival,4,8000,1339,44,needs tuning,4,0,16605.000,1.750,2.750,0.000,0.000,0.497521,0.054337,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.300,0.000,3.907,1.905,5.434,5.000,12.500
100,survival,1340,survival,4,8000,1340,44,needs tuning,2,0,7720.000,0.750,1.000,0.000,1.000,0.547141,0.108856,0.000000,0.000000,0.000000,34000.000,0.420000,5.250,1.200,0.000,1.816,0.000,6.000,5.000,25.000
101,survival,1341,survival,4,8000,1341,50,needs tuning,3,0,14463.000,1.500,2.250,0.000,0.750,0.493270,0.051633,0.050000,0.250000,0.200000,34000.000,0.420000,10.500,2.700,0.000,3.403,0.952,5.163,5.000,21.875
102,survival,1342,survival,4,8000,1342,47,needs tuning,2,0,13781.000,1.250,1.750,0.000,0.750,0.531690,0.093750,0.000000,0.000000,0.000000,34000.000,0.420000,8.750,2.100,0.000,3.243,0.000,6.000,5.000,21.875
103,survival,1343,survival,4,8000,1343,45,needs tuning,4,0,18947.500,1.750,3.000,0.000,0.000,0.491091,0.051291,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.600,0.000,4.458,1.905,5.129,5.000,12.500
104,survival,1344,survival,4,8000,1344,60,promising,5,1,21395.500,2.250,3.750,0.000,1.250,0.499325,0.052705,0.150000,0.750000,0.600000,34000.000,0.420000,15.750,4.500,0.000,5.034,2.857,5.271,5.000,21.875
105,survival,1345,survival,4,8000,1345,40,needs tuning,3,1,16321.500,1.750,2.500,0.000,2.250,0.504128,0.052312,0.050000,0.250000,0.200000,34000.000,0.420000,12.250,3.000,0.000,3.840,0.952,5.231,5.000,9.375
106,survival,1346,survival,4,8000,1346,57,promising,4,0,18452.500,1.750,3.250,0.000,1.000,0.499584,0.050216,0.100000,0.500000,0.400000,34000.000,0.420000,12.250,3.900,0.000,4.342,1.905,5.022,5.000,25.000
107,survival,1347,survival,4,8000,1347,43,needs tuning,3,0,7048.500,0.750,1.500,0.000,0.750,0.487583,0.073492,0.050000,0.250000,0.200000,34000.000,0.420000,5.250,1.800,0.000,1.658,0.952,6.000,5.000,21.875
108,survival,1348,survival,4,8000,1348,46,needs tuning,2,1,10599.000,1.000,1.250,0.000,1.000,0.493215,0.051537,0.000000,0.000000,0.000000,34000.000,0.420000,7.000,1.500,0.000,2.494,0.000,5.154,5.000,25.000
